DATE, EX_NUM, BOOL_PREPROC, NOISE, method_name, error_norm 

05-Oct-2017 12:39:50,1,1,1e-12,Separate,4.6368 
05-Oct-2017 12:39:50,1,1,1e-12,Batch,2.191e-11 
05-Oct-2017 12:39:50,1,1,1e-12,Batch With STLN,4.5522e-07 
05-Oct-2017 12:39:50,1,1,1e-12,Batch Constrained,4.2749e-11 
05-Oct-2017 12:39:50,1,1,1e-12,Batch Constrained With STLN,4.2748e-11 
05-Oct-2017 12:44:13,1,1,1e-12,Separate,4.6368 
05-Oct-2017 12:44:13,1,1,1e-12,Batch,2.191e-11 
05-Oct-2017 12:44:13,1,1,1e-12,Batch With STLN,2.1766e-11 
05-Oct-2017 12:44:13,1,1,1e-12,Batch Constrained,4.2749e-11 
05-Oct-2017 12:44:13,1,1,1e-12,Batch Constrained With STLN,4.2748e-11 
05-Oct-2017 12:55:21,2,1,1e-12,Separate,6.3012e-10 
05-Oct-2017 12:55:21,2,1,1e-12,Batch,3.6999e-12 
05-Oct-2017 12:55:21,2,1,1e-12,Batch With STLN,3.4976e-12 
05-Oct-2017 12:55:21,2,1,1e-12,Batch Constrained,3.5636e-12 
05-Oct-2017 12:55:21,2,1,1e-12,Batch Constrained With STLN,3.5393e-12 
05-Oct-2017 13:02:44,2,1,1e-12,Separate,6.3012e-10 
05-Oct-2017 13:02:44,2,1,1e-12,Batch,3.6999e-12 
05-Oct-2017 13:02:44,2,1,1e-12,Batch With STLN,3.4976e-12 
05-Oct-2017 13:02:44,2,1,1e-12,Batch Constrained,3.5636e-12 
05-Oct-2017 13:02:44,2,1,1e-12,Batch Constrained With STLN,2.8616 
05-Oct-2017 13:02:45,1,1,1e-12,Separate,4.6368 
05-Oct-2017 13:02:45,1,1,1e-12,Batch,2.191e-11 
05-Oct-2017 13:02:45,1,1,1e-12,Batch With STLN,2.1766e-11 
05-Oct-2017 13:02:45,1,1,1e-12,Batch Constrained,4.2749e-11 
05-Oct-2017 13:02:45,1,1,1e-12,Batch Constrained With STLN,4.2748e-11 
05-Oct-2017 13:03:28,2,1,1e-12,Separate,6.3012e-10 
05-Oct-2017 13:03:28,2,1,1e-12,Batch,3.6999e-12 
05-Oct-2017 13:03:28,2,1,1e-12,Batch With STLN,3.4976e-12 
05-Oct-2017 13:03:28,2,1,1e-12,Batch Constrained,3.5636e-12 
05-Oct-2017 13:03:28,2,1,1e-12,Batch Constrained With STLN,2.8616 
05-Oct-2017 13:06:46,2,1,1e-12,Separate,6.3012e-10 
05-Oct-2017 13:06:46,2,1,1e-12,Batch,3.6999e-12 
05-Oct-2017 13:06:46,2,1,1e-12,Batch With STLN,3.4976e-12 
05-Oct-2017 13:06:46,2,1,1e-12,Batch Constrained,3.5636e-12 
05-Oct-2017 13:06:46,2,1,1e-12,Batch Constrained With STLN,2.9888 
05-Oct-2017 13:07:33,2,1,1e-12,Separate,6.3012e-10 
05-Oct-2017 13:07:33,2,1,1e-12,Batch,3.6999e-12 
05-Oct-2017 13:07:33,2,1,1e-12,Batch With STLN,3.4976e-12 
05-Oct-2017 13:07:33,2,1,1e-12,Batch Constrained,3.5636e-12 
05-Oct-2017 13:07:33,2,1,1e-12,Batch Constrained With STLN,2.9888 
05-Oct-2017 13:08:47,2,1,1e-12,Separate,6.3012e-10 
05-Oct-2017 13:08:47,2,1,1e-12,Batch,3.6999e-12 
05-Oct-2017 13:08:47,2,1,1e-12,Batch With STLN,3.4976e-12 
05-Oct-2017 13:08:47,2,1,1e-12,Batch Constrained,3.5636e-12 
05-Oct-2017 13:08:47,2,1,1e-12,Batch Constrained With STLN,2.8616 
05-Oct-2017 13:09:51,2,1,1e-12,Separate,6.3012e-10 
05-Oct-2017 13:09:51,2,1,1e-12,Batch,3.6999e-12 
05-Oct-2017 13:09:51,2,1,1e-12,Batch With STLN,3.4976e-12 
05-Oct-2017 13:09:51,2,1,1e-12,Batch Constrained,3.5636e-12 
05-Oct-2017 13:09:51,2,1,1e-12,Batch Constrained With STLN,2.8902e-12 
05-Oct-2017 13:11:26,2,1,1e-12,Separate,6.3012e-10 
